City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Fereydun Kenar,IR,80.82,clear sky,36.6864,52.5225,Khezer Shahr Tourist Hotel
3,Sinnamary,GF,81.97,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
4,Cururupu,BR,85.69,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
5,Eyl,SO,78.06,clear sky,7.9803,49.8164,Amiin Hotel
7,Arraial Do Cabo,BR,78.66,clear sky,-22.9661,-42.0278,Pousada Porto Praia
9,Saint Anthony,US,89.94,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
10,Grand-Santi,GF,83.28,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
16,Albion,US,78.66,overcast clouds,42.2431,-84.753,Days Inn by Wyndham Albion
17,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
19,Anajatuba,BR,85.37,overcast clouds,-3.2644,-44.6197,Pousada Por do Sol
21,New Baltimore,US,81.01,overcast clouds,42.6811,-82.7369,Northpointe Shores RV Resort
25,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
32,Augusta,DE,77.52,clear sky,48.3667,10.8833,"Holiday Inn Express Augsburg, an IHG Hotel"
36,Silvassa,IN,78.49,overcast clouds,20.2667,73.0167,Wonderland Resort
40,La Baule-Escoublac,FR,87.46,clear sky,47.2922,-2.364,Hôtel Barrière Le Royal La Baule
43,Ormara,PK,86.18,light rain,25.2088,64.6357,Kenara Colony House for Rent
44,Itarema,BR,83.52,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
50,Ponta Do Sol,PT,76.01,clear sky,32.6667,-17.1,Hotel do Campo
51,Siena,IT,81.39,clear sky,43.2167,11.4,More Di Cuna
54,Karatau,KZ,77.67,clear sky,43.1667,70.4667,Baza Zika
56,Sao Jose Do Calcado,BR,84.72,overcast clouds,-21.0253,-41.6544,Pinheiros Hotel
58,Rincon,US,84.16,light rain,32.296,-81.2354,Days Inn Rincon
60,Kavaratti,IN,82.54,overcast clouds,10.5669,72.642,Green leaf
62,Jega,NG,81.82,overcast clouds,12.2175,4.3792,ALH. Nasiru Ibrahim
64,Freetown,SL,80.31,moderate rain,8.484,-13.2299,The Country Lodge Hotel
68,Victoria,HK,86.38,overcast clouds,22.2855,114.1577,Mini Central
69,Puri,IN,79.32,scattered clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
71,Salisbury,GB,78.82,broken clouds,51.0693,-1.7957,Mercure Salisbury White Hart Hotel
72,Iracoubo,GF,80.67,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
75,Yarada,IN,82.72,mist,17.65,83.2667,Yarada Jungle Beach Resorts
76,Puerto Ayacucho,VE,87.4,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
77,Les Cayes,HT,87.87,scattered clouds,18.2,-73.75,Villa Orphee
78,Coro,VE,87.93,few clouds,11.4045,-69.6734,Federal
79,Annau,TM,85.5,haze,37.8876,58.516,"Гостиница ""Уссат инженер"""
81,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
84,Jamestown,US,78.39,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
87,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
89,Clarksburg,US,84.31,overcast clouds,39.2807,-80.3445,Greenbrier Motel & Restaurant
91,Sao Jose De Piranhas,BR,87.69,few clouds,-7.1206,-38.5019,Bom Jesus
92,Agdas,AZ,87.46,clear sky,40.65,47.4761,MAQA telecom
93,Sept-Iles,CA,78.8,broken clouds,50.2001,-66.3821,Comfort Inn
104,The Valley,AI,87.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
114,Keti Bandar,PK,82.56,scattered clouds,24.1447,67.4497,Haji laloo memon house
123,Caravelas,BR,76.68,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
124,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
125,Torbay,CA,77.88,overcast clouds,47.6666,-52.7314,Gallows Cove
128,Margate,GB,76.1,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
132,Bubaque,GW,80.62,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
133,Shamgarh,IN,77.36,overcast clouds,24.1833,75.6333,janhvi namkeen bhandar
138,Ushtobe,KZ,75.49,clear sky,45.2514,77.9838,"Gostinitsa ""Diyar"""
139,Mitsamiouli,KM,77.34,clear sky,-11.3847,43.2844,Foyer ADM
149,Locri,IT,84.33,clear sky,38.2414,16.2623,Grand Hotel President
153,Bowling Green,US,87.73,few clouds,36.9903,-86.4436,Hilton Garden Inn Bowling Green
154,Hithadhoo,MV,76.12,overcast clouds,-0.6,73.0833,Scoop Guest House
155,Vaijapur,IN,75.63,overcast clouds,19.9167,74.7333,HOTEL MATOSHRI
156,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
157,Sao Filipe,CV,75.51,broken clouds,14.8961,-24.4956,Hotel Xaguate
158,Monrovia,LR,78.57,light rain,6.3005,-10.7969,Sunset Inn
159,San-Pedro,CI,75.42,overcast clouds,4.7485,-6.6363,Hotel Maria
160,Campbellsville,US,87.73,overcast clouds,37.3434,-85.3419,"Holiday Inn Express Campbellsville, an IHG Hotel"
169,Cap-Aux-Meules,CA,75.25,scattered clouds,47.3821,-61.8597,Auberge Madeli
