City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Gondar,ET,12.6,37.4667,57.92,90,100,3.36,light rain
1,Fereydun Kenar,IR,36.6864,52.5225,80.82,89,0,0.0,clear sky
2,Olafsvik,IS,64.8945,-23.7142,51.24,83,84,5.01,broken clouds
3,Sinnamary,GF,5.3833,-52.95,81.97,72,69,4.03,broken clouds
4,Cururupu,BR,-1.8283,-44.8683,85.69,60,42,5.95,scattered clouds
5,Eyl,SO,7.9803,49.8164,78.06,73,6,31.72,clear sky
6,Sankeshwar,IN,16.2667,74.4833,71.31,93,100,10.83,overcast clouds
7,Arraial Do Cabo,BR,-22.9661,-42.0278,78.66,69,0,10.36,clear sky
8,Banepa,NP,27.6298,85.5214,73.72,83,75,4.61,broken clouds
9,Saint Anthony,US,45.0205,-93.218,89.94,51,40,9.22,scattered clouds
10,Grand-Santi,GF,4.25,-54.3833,83.28,71,100,3.04,overcast clouds
11,Sistranda,NO,63.7256,8.834,53.56,84,56,21.77,broken clouds
12,Ciudad Bolivar,VE,8.1222,-63.5497,91.38,50,79,6.6,broken clouds
13,Ushuaia,AR,-54.8,-68.3,38.86,56,40,4.61,scattered clouds
14,Dikson,RU,73.5069,80.5464,44.55,78,6,8.75,clear sky
15,Tasiilaq,GL,65.6145,-37.6368,50.16,78,61,6.2,broken clouds
16,Albion,US,42.2431,-84.753,78.66,82,100,5.75,overcast clouds
17,Georgetown,MY,5.4112,100.3354,84.13,86,20,0.0,few clouds
18,Phalodi,IN,27.1333,72.3667,91.02,59,99,5.1,moderate rain
19,Anajatuba,BR,-3.2644,-44.6197,85.37,69,100,3.2,overcast clouds
20,Husavik,IS,66.0449,-17.3389,46.54,94,100,10.42,overcast clouds
21,New Baltimore,US,42.6811,-82.7369,81.01,91,100,9.22,overcast clouds
22,Kangasala,FI,61.4638,24.076,55.33,77,100,7.25,overcast clouds
23,Bredasdorp,ZA,-34.5322,20.0403,54.82,86,0,5.55,clear sky
24,Chernaya Kholunitsa,RU,58.8511,51.7154,59.72,77,0,4.34,clear sky
25,San Andres,CO,12.5847,-81.7006,84.22,84,75,11.5,broken clouds
26,Jacareacanga,BR,-6.2222,-57.7528,99.72,25,16,5.32,few clouds
27,Nortelandia,BR,-14.4547,-56.8028,91.22,32,0,6.11,clear sky
28,Punta Arenas,CL,-53.15,-70.9167,37.51,81,0,26.46,clear sky
29,Emba,KZ,48.8264,58.1442,82.38,35,0,9.33,clear sky
30,Cape Town,ZA,-33.9258,18.4232,60.28,88,3,5.99,clear sky
31,Vilhena,BR,-12.7406,-60.1458,91.63,27,13,5.99,few clouds
32,Augusta,DE,48.3667,10.8833,77.52,43,0,3.44,clear sky
33,Altay,CN,47.8667,88.1167,65.68,49,47,5.57,scattered clouds
34,Mwinilunga,ZM,-11.7358,24.4293,58.48,45,6,4.9,clear sky
35,Grindavik,IS,63.8424,-22.4338,50.47,87,75,9.22,broken clouds
36,Silvassa,IN,20.2667,73.0167,78.49,89,100,10.22,overcast clouds
37,Port Alfred,ZA,-33.5906,26.891,71.78,34,0,12.53,clear sky
38,Ballina,AU,-28.8667,153.5667,57.02,87,7,8.3,clear sky
39,Pietarsaari,FI,63.65,22.6833,58.89,83,100,6.87,light rain
40,La Baule-Escoublac,FR,47.2922,-2.364,87.46,32,0,10.36,clear sky
