City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hermanus,ZA,2022-07-16 01:04:19,-34.4187,19.2345,53.8,75,93,8.7
1,Souillac,MU,2022-07-16 01:04:19,-20.5167,57.5167,70.16,77,74,15.52
2,Port Elizabeth,ZA,2022-07-16 01:00:16,-33.918,25.5701,52.09,93,0,8.05
3,Bolgatanga,GH,2022-07-16 01:04:19,10.7856,-0.8514,77.74,81,100,4.94
4,Frederico Westphalen,BR,2022-07-16 01:01:20,-27.3592,-53.3944,69.44,78,100,3.65
5,Uray,RU,2022-07-16 01:04:20,60.1247,64.7758,67.55,87,94,1.81
6,Ushuaia,AR,2022-07-16 01:04:20,-54.8,-68.3,37.06,52,20,20.71
7,Rawson,AR,2022-07-16 01:04:21,-43.3002,-65.1023,40.41,80,73,11.7
8,Piacabucu,BR,2022-07-16 01:04:21,-10.4056,-36.4344,72.27,88,22,8.9
9,Mayumba,GA,2022-07-16 01:04:21,-3.432,10.6554,70.45,92,93,1.25
10,Busselton,AU,2022-07-16 01:04:22,-33.65,115.3333,58.66,68,100,5.57
11,Taltal,CL,2022-07-16 01:02:18,-25.4,-70.4833,54.63,75,41,1.5
12,Pitimbu,BR,2022-07-16 01:04:22,-7.4706,-34.8086,75.79,86,9,12.53
13,Pasni,PK,2022-07-16 01:04:23,25.2631,63.471,83.57,86,100,3.49
14,Vestmannaeyjar,IS,2022-07-16 01:03:12,63.4427,-20.2734,50.99,100,100,33.38
15,Port Alfred,ZA,2022-07-16 01:04:23,-33.5906,26.891,58.32,75,100,10.0
16,Kruisfontein,ZA,2022-07-16 01:04:24,-34.0033,24.7314,53.37,69,100,5.5
17,Lebu,CL,2022-07-16 01:04:24,-37.6167,-73.65,44.62,82,26,4.52
18,Coihaique,CL,2022-07-16 01:03:24,-45.5752,-72.0662,26.55,86,75,2.3
19,Urumqi,CN,2022-07-16 01:02:03,43.801,87.6005,74.35,29,0,6.71
20,Gangapur,IN,2022-07-16 01:04:24,26.4833,76.7167,86.43,64,92,2.42
21,Sol-Iletsk,RU,2022-07-16 01:04:25,51.1631,54.9918,63.72,75,0,5.86
22,Linguere,SN,2022-07-16 01:04:25,15.3953,-15.1193,84.31,63,3,13.62
23,Cape Town,ZA,2022-07-16 01:04:25,-33.9258,18.4232,58.37,83,68,5.01
24,Torbay,CA,2022-07-16 01:00:07,47.6666,-52.7314,63.88,90,41,4.0
25,Upernavik,GL,2022-07-16 01:04:26,72.7868,-56.1549,47.89,63,11,4.68
26,Jamestown,US,2022-07-16 01:01:05,42.097,-79.2353,66.52,63,100,3.15
27,Touros,BR,2022-07-16 01:00:05,-5.1989,-35.4608,74.08,90,4,13.0
28,Victoria,HK,2022-07-16 01:03:55,22.2855,114.1577,89.96,85,91,11.01
29,Henties Bay,NA,2022-07-16 01:04:27,-22.116,14.2845,71.71,29,0,17.43
30,Bourbonnais,US,2022-07-16 01:04:27,41.1417,-87.875,70.95,99,100,6.91
31,Punta Arenas,CL,2022-07-16 01:01:42,-53.15,-70.9167,27.16,85,100,8.21
32,Sosua,DO,2022-07-16 01:04:28,19.7667,-70.5167,80.58,89,20,0.0
33,Narsaq,GL,2022-07-16 01:04:28,60.9167,-46.05,50.22,88,100,6.73
34,Bonito,BR,2022-07-16 01:04:28,-21.1211,-56.4819,74.86,41,21,6.02
35,Georgetown,MY,2022-07-16 01:00:23,5.4112,100.3354,82.89,83,20,1.01
36,Sidrolandia,BR,2022-07-16 01:04:29,-20.9319,-54.9614,72.3,43,100,5.77
37,Havre-Saint-Pierre,CA,2022-07-16 01:04:29,50.2334,-63.5986,55.76,88,100,4.61
